SaleID,StoreID,ProductID,Date,Quantity,Price,Discount,TotalAmount,City,State,Manager,StaffCount,Area_sqft,StoreName,Category,SubCategory,Brand,BasePrice,Stock,ProductName
1,103,962,2022-01-01 00:00:00,16,2387.24,0.05,36286.048,Kolkata,Karnataka,Manager_103,72,3396,Store_103,Cosmetics,T-Shirts,Urbano,3688.68,313,Product_962
2,93,527,2022-01-01 01:00:00,7,2177.46,0.14,13108.309200000002,Delhi,Maharashtra,Manager_93,53,7809,Store_93,Footwear,Frocks,Puma,1111.99,384,Product_527
3,15,504,2022-01-01 02:00:00,14,1329.82,0.1,16755.732,Bangalore,Delhi,Manager_15,32,6903,Store_15,Footwear,Bags,Urbano,2133.84,93,Product_504
4,107,1109,2022-01-01 03:00:00,19,551.34,0.3,7332.822,Kolkata,Telangana,Manager_107,59,8368,Store_107,Clothing,Foundation,Urbano,2554.96,419,Product_1109
5,72,931,2022-01-01 04:00:00,19,1066.69,0.29,14389.6481,Bangalore,Tamil Nadu,Manager_72,72,6464,Store_72,Clothing,Boots,Levis,637.6,255,Product_931
6,21,709,2022-01-01 05:00:00,13,1946.93,0.11,22525.9801,Kolkata,Maharashtra,Manager_21,51,6512,Store_21,Footwear,Bags,Levis,1581.79,259,Product_709
7,103,235,2022-01-01 06:00:00,12,1378.1,0.24,12568.271999999995,Kolkata,Karnataka,Manager_103,72,3396,Store_103,Accessories,Foundation,Puma,667.11,315,Product_235
8,122,1030,2022-01-01 07:00:00,1,2949.13,0.07,2742.6909,Delhi,Delhi,Manager_122,32,5658,Store_122,Kidswear,Foundation,Puma,3328.02,287,Product_1030
9,75,494,2022-01-01 08:00:00,12,3146.75,0.02,37005.78,Kolkata,Delhi,Manager_75,97,2212,Store_75,Accessories,Creams,Zudio,2355.55,285,Product_494
10,88,878,2022-01-01 09:00:00,4,2936.32,0.01,11627.8272,Chennai,Delhi,Manager_88,46,4961,Store_88,Cosmetics,Frocks,Puma,1791.79,407,Product_878
11,117,967,2022-01-01 10:00:00,15,607.61,0.01,9023.0085,Mumbai,West Bengal,Manager_117,71,9537,Store_117,Accessories,Sweaters,Zudio,4449.02,114,Product_967
12,100,966,2022-01-01 11:00:00,16,3400.93,0.22,42443.6064,Hyderabad,Maharashtra,Manager_100,19,7951,Store_100,Cosmetics,Shirts,Levis,3645.57,297,Product_966
