SaleID,StoreID,ProductID,Date,Quantity,Price,Discount,TotalAmount
1,103,962,2022-01-01 00:00:00,16,2387.24,0.05,36286.047999999995
2,93,527,2022-01-01 01:00:00,7,2177.46,0.14,13108.309200000002
3,15,504,2022-01-01 02:00:00,14,1329.82,0.1,16755.732
4,107,1109,2022-01-01 03:00:00,19,551.34,0.3,7332.822
5,72,931,2022-01-01 04:00:00,19,1066.69,0.29,14389.6481
6,21,709,2022-01-01 05:00:00,13,1946.93,0.11,22525.9801
7,103,235,2022-01-01 06:00:00,12,1378.1,0.24,12568.271999999997
8,122,1030,2022-01-01 07:00:00,1,2949.13,0.07,2742.6909
9,75,494,2022-01-01 08:00:00,12,3146.75,0.02,37005.78
10,88,878,2022-01-01 09:00:00,4,2936.32,0.01,11627.8272
11,117,967,2022-01-01 10:00:00,15,607.61,0.01,9023.0085
12,100,966,2022-01-01 11:00:00,16,3400.93,0.22,42443.6064
13,104,964,2022-01-01 12:00:00,15,2045.98,0.1,27620.73
14,131,897,2022-01-01 13:00:00,8,4415.16,0.25,26490.96
15,150,217,2022-01-01 14:00:00,19,2722.95,0.26,38284.676999999996
16,53,623,2022-01-01 15:00:00,15,605.67,0.09,8267.395499999999
17,2,353,2022-01-01 16:00:00,18,244.25,0.09,4000.815
18,88,692,2022-01-01 17:00:00,11,3572.06,0.09,35756.3206
19,38,675,2022-01-01 18:00:00,9,2122.45,0.14,16427.763
20,130,631,2022-01-01 19:00:00,1,1582.38,0.0,1582.38
21,21,325,2022-01-01 20:00:00,9,2346.46,0.0,21118.14
22,58,901,2022-01-01 21:00:00,12,547.49,0.22,5124.5064
23,22,1169,2022-01-01 22:00:00,2,2081.52,0.24,3163.9104
24,89,308,2022-01-01 23:00:00,11,1710.56,0.06,17687.1904
25,49,654,2022-01-02 00:00:00,14,4040.91,0.18,46389.6468
26,59,285,2022-01-02 01:00:00,2,1039.3,0.06,1953.8839999999998
27,15,392,2022-01-02 02:00:00,15,3830.32,0.22,44814.744000000006
28,51,360,2022-01-02 03:00:00,18,2601.93,0.13,40746.2238
29,108,769,2022-01-02 04:00:00,14,593.06,0.25,6227.13
30,55,797,2022-01-02 05:00:00,12,4854.46,0.28,41942.534400000004
31,64,932,2022-01-02 06:00:00,10,3724.21,0.17,30910.942999999996
32,131,165,2022-01-02 07:00:00,14,1448.45,0.27,14803.159
33,51,733,2022-01-02 08:00:00,15,2992.42,0.01,44437.437000000005
34,135,581,2022-01-02 09:00:00,5,4519.69,0.14,19434.666999999998
35,21,821,2022-01-02 10:00:00,2,4667.87,0.15,7935.379
36,73,124,2022-01-02 11:00:00,6,3709.56,0.12,19586.4768
37,18,344,2022-01-02 12:00:00,12,3692.82,0.09,40325.5944
38,132,524,2022-01-02 13:00:00,2,1531.33,0.22,2388.8748
39,89,1076,2022-01-02 14:00:00,4,4950.86,0.17,16436.855199999998
40,60,129,2022-01-02 15:00:00,7,1368.71,0.02,9389.350600000002
41,14,1159,2022-01-02 16:00:00,16,629.15,0.29,7147.143999999999
42,9,657,2022-01-02 17:00:00,1,4891.42,0.27,3570.7366
43,90,1151,2022-01-02 18:00:00,1,933.66,0.11,830.9574
44,53,738,2022-01-02 19:00:00,14,2703.74,0.07,35202.6948
45,130,939,2022-01-02 20:00:00,11,2447.57,0.19,21807.848700000002
46,84,71,2022-01-02 21:00:00,12,4271.39,0.01,50744.11320000001
47,92,273,2022-01-02 22:00:00,11,2103.96,0.15,19672.026
48,111,1027,2022-01-02 23:00:00,6,2610.47,0.2,12530.256000000001
49,8,22,2022-01-03 00:00:00,12,409.94,0.12,4328.9664
50,35,166,2022-01-03 01:00:00,12,1197.62,0.29,10203.722399999999
51,81,875,2022-01-03 02:00:00,10,4198.38,0.22,32747.364000000005
52,50,498,2022-01-03 03:00:00,8,2496.13,0.28,14377.7088
53,104,434,2022-01-03 04:00:00,19,1308.47,0.27,18148.4789
54,132,758,2022-01-03 05:00:00,7,1970.76,0.04,13243.5072
55,2,234,2022-01-03 06:00:00,14,1568.46,0.2,17566.752000000004
56,134,837,2022-01-03 07:00:00,4,2869.86,0.18,9413.140800000001
57,54,663,2022-01-03 08:00:00,1,446.94,0.02,438.0012
58,106,725,2022-01-03 09:00:00,8,1279.86,0.1,9214.992
59,4,376,2022-01-03 10:00:00,5,1903.83,0.16,7996.085999999999
60,54,730,2022-01-03 11:00:00,8,4655.43,0.16,31284.4896
61,146,303,2022-01-03 12:00:00,8,3191.74,0.24,19405.779199999997
62,44,405,2022-01-03 13:00:00,7,2620.42,0.18,15041.210800000003
63,14,708,2022-01-03 14:00:00,19,1115.95,0.14,18234.623
64,95,917,2022-01-03 15:00:00,4,2877.69,0.23,8863.2852
65,48,21,2022-01-03 16:00:00,6,4659.25,0.17,23203.065
66,15,257,2022-01-03 17:00:00,12,2918.28,0.27,25564.1328
67,40,399,2022-01-03 18:00:00,18,990.92,0.27,13020.688799999998
68,82,51,2022-01-03 19:00:00,12,4986.17,0.18,49063.912800000006
69,111,447,2022-01-03 20:00:00,18,2594.52,0.17,38762.1288
70,53,827,2022-01-03 21:00:00,3,1733.87,0.21,4109.2719
71,24,595,2022-01-03 22:00:00,10,2616.21,0.22,20406.438
72,124,818,2022-01-03 23:00:00,7,1465.72,0.22,8002.8312000000005
73,41,636,2022-01-04 00:00:00,3,345.79,0.19,840.2697000000002
74,15,1073,2022-01-04 01:00:00,19,4469.7,0.23,65391.711
